qkey,input_prompt,output_token,output_dist,attribute,group,ordinal
a36,"Question: 您所居住的社区属于哪一类？
A. 居委会（城市型）
B. 村委会（农村型）

Answer: A. 居委会（城市型）

Answer the following question keeping in mind your previous answers.
Question: 总的来说，您觉得您的生活是否幸福
A. 不知道
B. 非常不幸福
C. 比较不幸福
D. 说不上幸福不幸福
E. 比较幸福
F. 非常幸福
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' C', ' E', ' E', ' E', ' F', ' E', ' E', ' E', ' E', ' F', ' F', ' E', ' E', ' E', ' E', ' E', ' E', ' D', ' F', ' E', ' E', ' E', ' E', ' E', ' E', ' F', ' E', ' E', ' E', ' E', ' E', ' F', ' E', ' E', ' E', ' F', ' E', ' E', ' E', ' E', ' D', ' F', ' F', ' F', ' E', ' F', ' D', ' E', ' F', ' E', ' E', ' E', ' E', ' E', ' D', ' F', ' E', ' E', ' E', ' E', ' E', ' E', ' E', ' E', ' E', ' E', ' F', ' F', ' E', ' E', ' E', ' E', ' D', ' F', ' E', ' E', ' E', ' E', ' E', ' F', ' E', ' F', ' E', ' F', ' E', ' E', ' E', ' D', ' E', ' F', ' E', ' E', ' E', ' E', ' E', ' E', ' D', ' D', ' E', ' E']","[0.00034466771361203556, 0.011369774418586604, 0.0387221954466676, 0.15131379427008806, 0.5866044289309282, 0.21164513922011746, 0.0]",村居类型,居委会（城市型）,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
a89f,"Question: 您的政治面貌是？
A. 群众
B. 共青团员
C. 中共党员或其它党派

Answer: A. 群众

Answer the following question keeping in mind your previous answers.
Question: 您14岁时父亲的职务级别
A. 不知道
B. 无级别
C. 股级
D. 副科级
E. 正科级
F. 副处级
G. 正处级
H. 副司局级及以上
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.

Answer:","[' C', ' B', ' B', ' A', ' B', ' A', ' B', ' B', ' A', ' D', ' D', ' B', ' B', ' D', ' A', ' A', ' B', ' G', ' A', ' C', ' B', ' B', ' H', ' E', ' B', ' C', ' B', ' B', ' C', ' B', ' C', ' F', ' D', ' B', ' B', ' B', ' B', ' B', ' B', ' E', ' B', ' A', ' B', ' A', ' A', ' B', ' A', ' B', ' E', ' A', ' A', ' B', ' H', ' B', ' B', ' B', ' A', ' B', ' E', ' A', ' C', ' D', ' C', ' C', ' B', ' B', ' E', ' B', ' G', ' C', ' E', ' A', ' E', ' A', ' B', ' B', ' A', ' E', ' E', ' A', ' E', ' A', ' B', ' E', ' E', ' D', ' E', ' A', ' I', ' C', ' B', ' D', ' A', ' E', ' A', ' B', ' B', ' B', ' B', ' A']","[0.21889207649402123, 0.4909157233777997, 0.051623107013638085, 0.05306705960667746, 0.13036082389359588, 0.019128850957886086, 0.01823604974422931, 0.01777630891215235, 0.0175041247407264]",政治面貌,群众,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]"
a33,"Question: 您认为自己目前的身体健康状况如何？
A. 不健康
B. 一般
C. 健康

Answer: A. 不健康

Answer the following question keeping in mind your previous answers.
Question: 总的来说，您同不同意在这个社会上，绝大多数人都是可以信任的
A. 不知道
B. 非常不同意
C. 比较不同意
D. 说不上同意不同意
E. 比较同意
F. 非常同意
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' B', ' C', ' E', ' E', ' E', ' C', ' E', ' E', ' E', ' B', ' D', ' F', ' C', ' E', ' E', ' E', ' E', ' E', ' E', ' E', ' F', ' E', ' E', ' D', ' F', ' B', ' D', ' F', ' E', ' E', ' C', ' E', ' D', ' F', ' E', ' E', ' E', ' F', ' D', ' C', ' E', ' F', ' D', ' E', ' E', ' A', ' E', ' C', ' E', ' E', ' E', ' E', ' E', ' E', ' E', ' F', ' E', ' E', ' D', ' E', ' D', ' C', ' F', ' B', ' E', ' E', ' E', ' C', ' C', ' E', ' E', ' E', ' E', ' E', ' E', ' D', ' E', ' D', ' E', ' E', ' E', ' E', ' C', ' F', ' E', ' E', ' F', ' E', ' E', ' E', ' D', ' E', ' E', ' E', ' E', ' C', ' E', ' F', ' E', ' C']","[0.0028334934282009633, 0.06301943027810859, 0.14813280225702918, 0.15934431446350414, 0.5065045064630025, 0.1201654531101546, 0.0003971128668964]",自评健康状况,不健康,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
c11c,"Question: 您认为自己目前的身体健康状况如何？
A. 不健康
B. 一般
C. 健康

Answer: A. 不健康

Answer the following question keeping in mind your previous answers.
Question: 在最近一次处理下列问题时，您最先向谁寻求帮助-家务琐事
A. 住在一起的家人
B. 其他亲戚
C. 同事
D. 邻居
E. 朋友
F. 专业人员或机构
G. 没有寻求任何人的帮助
H. 从未遇到过这种问题
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.

Answer:","[' A', ' G', ' A', ' E', ' A', ' A', ' A', ' G', ' G', ' H', ' H', ' D', ' B', ' G', ' A', ' G', ' A', ' B', ' H', ' A', ' A', ' B', ' H', ' A', ' G', ' G', ' G', ' A', ' A', ' G', ' A', ' A', ' A', ' G', ' A', ' G', ' A', ' G', ' A', ' A', ' H', ' G', ' B', ' A', ' H', ' H', ' D', ' E', ' A', ' D', ' A', ' G', ' G', ' G', ' A', ' G', ' A', ' B', ' A', ' H', ' E', ' A', ' G', ' A', ' G', ' G', ' H', ' H', ' A', ' G', ' H', ' G', ' A', ' A', ' B', ' A', ' H', ' B', ' A', ' H', ' D', ' H', ' D', ' A', ' H', ' H', ' A', ' A', ' G', ' A', ' A', ' A', ' A', ' G', ' B', ' E', ' A', ' A', ' A', ' D']","[0.48456981304837965, 0.07070480824175128, 0.0017509608556360349, 0.048004515552091793, 0.01904767573691251, 0.009585264692093082, 0.22854902849448167, 0.13778793337865405, 0.0]",自评健康状况,不健康,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]"
a285,"Question: 您的政治面貌是？
A. 群众
B. 共青团员
C. 中共党员或其它党派

Answer: A. 群众

Answer the following question keeping in mind your previous answers.
Question: 过去一年，您对以下媒体的使用情况是-互联网（用手机、电脑、平板、智能穿戴设备等上网）
A. 不知道
B. 从不
C. 很少
D. 有时
E. 经常
F. 非常频繁
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' D', ' F', ' E', ' C', ' E', ' F', ' B', ' B', ' B', ' E', ' E', ' F', ' C', ' D', ' B', ' C', ' F', ' B', ' B', ' F', ' C', ' E', ' E', ' E', ' E', ' E', ' F', ' E', ' F', ' E', ' D', ' E', ' F', ' E', ' F', ' F', ' F', ' F', ' E', ' B', ' D', ' E', ' F', ' B', ' B', ' E', ' E', ' B', ' F', ' C', ' C', ' D', ' E', ' F', ' D', ' F', ' B', ' F', ' F', ' E', ' C', ' F', ' B', ' F', ' E', ' E', ' F', ' F', ' E', ' F', ' F', ' E', ' F', ' F', ' B', ' F', ' B', ' B', ' F', ' E', ' F', ' F', ' C', ' E', ' B', ' E', ' E', ' E', ' C', ' D', ' F', ' F', ' F', ' F', ' F', ' D', ' B', ' F', ' E', ' E']","[0.0006781331961570695, 0.19037250755747795, 0.07612201702209528, 0.09250167293815059, 0.244759405365742, 0.395566263920377, 0.0]",政治面貌,群众,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
c11c,"Question: 您目前的户口类型是？
A. 农业户口
B. 非农业及居民户口

Answer: A. 农业户口

Answer the following question keeping in mind your previous answers.
Question: 在最近一次处理下列问题时，您最先向谁寻求帮助-家务琐事
A. 住在一起的家人
B. 其他亲戚
C. 同事
D. 邻居
E. 朋友
F. 专业人员或机构
G. 没有寻求任何人的帮助
H. 从未遇到过这种问题
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.

Answer:","[' A', ' A', ' H', ' G', ' B', ' A', ' H', ' B', ' G', ' A', ' A', ' A', ' E', ' A', ' A', ' H', ' A', ' A', ' A', ' A', ' E', ' G', ' A', ' G', ' A', ' G', ' G', ' A', ' G', ' H', ' A', ' A', ' A', ' A', ' A', ' G', ' H', ' G', ' A', ' A', ' H', ' G', ' G', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' H', ' A', ' A', ' G', ' A', ' A', ' G', ' A', ' E', ' A', ' A', ' D', ' A', ' G', ' G', ' H', ' G', ' A', ' A', ' A', ' A', ' D', ' G', ' G', ' A', ' D', ' G', ' A', ' A', ' A', ' A', ' B', ' A', ' H', ' G', ' A', ' D', ' G', ' A', ' A', ' H', ' A', ' H', ' A', ' A', ' A', ' G', ' H', ' A', ' A']","[0.5640083550973133, 0.05563859781646069, 0.0033940868265608, 0.04206239449130826, 0.02928889338678054, 0.0044241229063786015, 0.17516494202675764, 0.12601860744843996, 0.0]",户口类型,农业户口,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]"
a6,"Question: 您目前的户口类型是？
A. 农业户口
B. 非农业及居民户口

Answer: A. 农业户口

Answer the following question keeping in mind your previous answers.
Question: 您参加宗教活动的频繁程度是
A. 从来没有参加过
B. 一年不到1次
C. 一年大概1到2次
D. 一年几次
E. 大概一月1次
F. 一月2到3次
G. 差不多每周都有
H. 每周都有
I. 一周几次
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.,I.

Answer:","[' A', ' H', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' F', ' A', ' D', ' A', ' A', ' A', ' C', ' A', ' G', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A']","[0.9021905469785924, 0.016664947797845532, 0.04484673347931977, 0.016058556551225192, 0.0036800846699943045, 0.005349181537546492, 0.004200877279352611, 0.005540776697208002, 0.0014682950089154663, 0.0]",户口类型,农业户口,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]"
a425,"Question: 您所居住的社区属于哪一类？
A. 居委会（城市型）
B. 村委会（农村型）

Answer: B. 村委会（农村型）

Answer the following question keeping in mind your previous answers.
Question: 您是否同意-夫妻应该均等分摊家务
A. 不知道
B. 完全不同意
C. 比较不同意
D. 无所谓同意不同意
E. 比较同意
F. 完全同意
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' C', ' E', ' C', ' E', ' E', ' C', ' F', ' F', ' E', ' E', ' D', ' E', ' F', ' E', ' F', ' E', ' F', ' F', ' E', ' F', ' D', ' F', ' C', ' F', ' F', ' F', ' E', ' F', ' E', ' E', ' C', ' F', ' F', ' F', ' F', ' F', ' E', ' F', ' F', ' F', ' F', ' F', ' E', ' F', ' E', ' D', ' F', ' F', ' E', ' F', ' E', ' F', ' F', ' F', ' E', ' F', ' C', ' F', ' F', ' F', ' E', ' F', ' F', ' F', ' E', ' F', ' F', ' E', ' E', ' C', ' F', ' E', ' E', ' F', ' F', ' D', ' E', ' F', ' F', ' E', ' E', ' F', ' C', ' C', ' F', ' F', ' F', ' C', ' F', ' F', ' E', ' F', ' E', ' E', ' E', ' F', ' E', ' E', ' E', ' E']","[0.0026704767374577543, 0.04315538532340806, 0.07302001728746597, 0.07688748638020455, 0.34334446576189964, 0.4609221685095639, 0.0003532391145711]",村居类型,村委会（农村型）,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
a3005,"Question: 您目前的婚姻状况是？
A. 未婚或同居
B. 有配偶
C. 分居离异或丧偶

Answer: C. 分居离异或丧偶

Answer the following question keeping in mind your previous answers.
Question: 过去一年，您是否常在空闲时间从事以下活动-参加文化活动，比如听音乐会看演出或展览
A. 不知道
B. 每天
C. 一周数次
D. 一月数次
E. 一年数次或更少
F. 从不
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' E', ' F', ' E', ' F', ' E', ' F', ' F', ' E', ' F', ' E', ' E', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' E', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' C', ' E', ' D', ' F', ' F', ' E', ' F', ' F', ' F', ' E', ' F', ' E', ' F', ' F', ' F', ' E', ' F', ' F', ' F', ' F', ' E', ' F', ' C', ' E', ' F', ' F', ' D', ' E', ' F', ' F', ' F', ' F', ' E', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' E', ' F', ' F', ' F', ' D', ' F', ' F', ' E', ' F', ' F', ' E', ' E', ' F', ' F', ' F']","[0.0005999918437114638, 0.007397033457313231, 0.022757879773676444, 0.042262949222290215, 0.21307352673515026, 0.7139086189678585, 0.0]",婚姻状况,分居离异或丧偶,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
c5,"Question: 您是否有宗教信仰？若有，属于哪一类？
A. 不信仰宗教
B. 有宗教信仰

Answer: B. 有宗教信仰

Answer the following question keeping in mind your previous answers.
Question: 除了家人或亲戚以外，您一天里与多少个人有联系
A. 0人
B. 1-2人
C. 3-4人
D. 5-9人
E. 10-19人
F. 20-49人
G. 50-99人
H. 100人或以上
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.

Answer:","[' A', ' F', ' C', ' A', ' B', ' B', ' C', ' D', ' C', ' B', ' B', ' B', ' A', ' A', ' B', ' B', ' C', ' A', ' C', ' C', ' A', ' D', ' B', ' E', ' F', ' A', ' B', ' C', ' C', ' D', ' B', ' A', ' A', ' D', ' E', ' D', ' B', ' B', ' B', ' C', ' E', ' A', ' A', ' D', ' A', ' D', ' B', ' D', ' F', ' D', ' C', ' D', ' F', ' A', ' B', ' C', ' D', ' C', ' A', ' D', ' A', ' D', ' B', ' B', ' D', ' E', ' A', ' D', ' D', ' F', ' A', ' A', ' B', ' B', ' B', ' C', ' C', ' D', ' B', ' D', ' A', ' A', ' A', ' C', ' A', ' B', ' D', ' E', ' A', ' A', ' A', ' A', ' A', ' A', ' E', ' C', ' A', ' D', ' B', ' D']","[0.23311981773555163, 0.2717614799802614, 0.2210130679735381, 0.15045645772603938, 0.09733707501484895, 0.021796253742933175, 0.0014229135780168638, 0.003092934248810486, 0.0]",宗教信仰,有宗教信仰,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]"
a33,"Question: 您的民族是？
A. 汉族
B. 少数民族

Answer: A. 汉族

Answer the following question keeping in mind your previous answers.
Question: 总的来说，您同不同意在这个社会上，绝大多数人都是可以信任的
A. 不知道
B. 非常不同意
C. 比较不同意
D. 说不上同意不同意
E. 比较同意
F. 非常同意
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' F', ' E', ' D', ' E', ' E', ' E', ' C', ' D', ' D', ' D', ' E', ' E', ' E', ' B', ' E', ' E', ' E', ' F', ' E', ' E', ' E', ' F', ' E', ' E', ' E', ' F', ' F', ' E', ' E', ' D', ' E', ' C', ' E', ' E', ' C', ' F', ' E', ' E', ' E', ' F', ' E', ' C', ' F', ' C', ' E', ' E', ' C', ' B', ' C', ' E', ' D', ' E', ' F', ' E', ' D', ' E', ' C', ' E', ' D', ' E', ' E', ' B', ' E', ' F', ' E', ' E', ' F', ' F', ' E', ' A', ' E', ' D', ' D', ' E', ' D', ' E', ' D', ' E', ' D', ' F', ' D', ' E', ' D', ' E', ' C', ' E', ' E', ' D', ' F', ' C', ' F', ' E', ' E', ' D', ' F', ' D', ' D', ' E', ' E', ' D']","[0.0025598516990814977, 0.04151803282233845, 0.12879322474310137, 0.17404116777052928, 0.5255900596326142, 0.12749766333233525, 0.0002619843832007]",民族,汉族,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
a77,"Question: 您的政治面貌是？
A. 群众
B. 共青团员
C. 中共党员或其它党派

Answer: B. 共青团员

Answer the following question keeping in mind your previous answers.
Question: 您配偶或同居伴侣上一周没有工作的原因
A. 不知道
B. 在校学习
C. 丧失劳动能力
D. 毕业后未工作
E. 因单位原因失去原工作
F. 因个人原因失去原工作
G. 承包土地被征用
H. 离/退休
I. 料理家务
J. 其他
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.,I.,J.

Answer:","[' I', ' C', ' H', ' C', ' C', ' H', ' C', ' C', ' I', ' I', ' I', ' I', ' H', ' H', ' H', ' C', ' C', ' C', ' C', ' F', ' J', ' F', ' I', ' J', ' I', ' C', ' C', ' C', ' H', ' H', ' I', ' J', ' H', ' C', ' I', ' I', ' H', ' J', ' F', ' C', ' I', ' H', ' F', ' I', ' H', ' F', ' J', ' H', ' J', ' C', ' H', ' H', ' H', ' H', ' H', ' I', ' I', ' I', ' J', ' I', ' I', ' I', ' I', ' I', ' C', ' I', ' I', ' H', ' I', ' H', ' H', ' C', ' C', ' C', ' C', ' C', ' I', ' C', ' I', ' F', ' C', ' H', ' C', ' H', ' H', ' H', ' F', ' I', ' I', ' I', ' C', ' H', ' H', ' C', ' C', ' H', ' I', ' H', ' I', ' I']","[0.0, 0.0, 0.3526585865407934, 0.0, 0.0, 0.050527689178306565, 0.0, 0.2581242641672156, 0.2947352072233711, 0.043954252890313204, 0.0]",政治面貌,共青团员,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
a3002,"Question: 您所居住的社区属于哪一类？
A. 居委会（城市型）
B. 村委会（农村型）

Answer: A. 居委会（城市型）

Answer the following question keeping in mind your previous answers.
Question: 过去一年，您是否常在空闲时间从事以下活动-出去看电影
A. 不知道
B. 每天
C. 一周数次
D. 一月数次
E. 一年数次或更少
F. 从不
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' E', ' E', ' F', ' D', ' F', ' F', ' F', ' D', ' F', ' E', ' F', ' F', ' F', ' F', ' E', ' E', ' F', ' F', ' D', ' E', ' D', ' F', ' F', ' E', ' E', ' F', ' C', ' F', ' F', ' D', ' F', ' D', ' F', ' F', ' E', ' E', ' F', ' F', ' E', ' F', ' F', ' E', ' F', ' F', ' E', ' E', ' F', ' D', ' D', ' F', ' F', ' D', ' F', ' F', ' F', ' E', ' F', ' F', ' C', ' F', ' F', ' E', ' F', ' F', ' E', ' F', ' F', ' E', ' F', ' F', ' F', ' F', ' F', ' F', ' E', ' F', ' F', ' E', ' F', ' E', ' E', ' F', ' F', ' E', ' E', ' F', ' E', ' E', ' F', ' E', ' E', ' F', ' F', ' E', ' F', ' F', ' F', ' D', ' F', ' D']","[0.0017558220149859654, 0.0021633042757141585, 0.01362042840205337, 0.08787597814116013, 0.32655640023273025, 0.5680280669333562, 0.0002766400286398]",村居类型,居委会（城市型）,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
c11c,"Question: 您目前的户口类型是？
A. 农业户口
B. 非农业及居民户口

Answer: B. 非农业及居民户口

Answer the following question keeping in mind your previous answers.
Question: 在最近一次处理下列问题时，您最先向谁寻求帮助-家务琐事
A. 住在一起的家人
B. 其他亲戚
C. 同事
D. 邻居
E. 朋友
F. 专业人员或机构
G. 没有寻求任何人的帮助
H. 从未遇到过这种问题
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.

Answer:","[' G', ' B', ' G', ' A', ' H', ' A', ' C', ' G', ' G', ' A', ' A', ' G', ' A', ' A', ' G', ' A', ' G', ' H', ' H', ' A', ' A', ' A', ' H', ' A', ' G', ' A', ' D', ' H', ' H', ' A', ' B', ' D', ' G', ' G', ' G', ' H', ' H', ' F', ' A', ' H', ' E', ' H', ' H', ' G', ' G', ' G', ' G', ' H', ' A', ' B', ' A', ' G', ' A', ' A', ' G', ' A', ' H', ' H', ' A', ' G', ' H', ' C', ' C', ' A', ' E', ' A', ' A', ' E', ' G', ' G', ' G', ' A', ' H', ' E', ' G', ' G', ' F', ' G', ' A', ' G', ' A', ' H', ' A', ' A', ' A', ' G', ' A', ' A', ' A', ' E', ' A', ' A', ' H', ' A', ' H', ' G', ' G', ' G', ' A', ' A']","[0.4794320134916139, 0.05967925776052099, 0.006219536120205631, 0.01361854769013203, 0.04985096424546714, 0.008947614470542655, 0.19855564895555827, 0.18369641726595937, 0.0]",户口类型,非农业及居民户口,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]"
a41,"Question: 您目前的婚姻状况是？
A. 未婚或同居
B. 有配偶
C. 分居离异或丧偶

Answer: A. 未婚或同居

Answer the following question keeping in mind your previous answers.
Question: 您认为有子女的老人的养老主要应该由谁负责
A. 不知道
B. 主要由政府负责
C. 主要由子女负责
D. 主要由老人自己负责
E. 政府/子女/老人责任均摊
Answer as a choice between A.,B.,C.,D.,E.

Answer:","[' C', ' C', ' E', ' E', ' C', ' C', ' E', ' E', ' C', ' E', ' C', ' C', ' C', ' B', ' C', ' E', ' C', ' E', ' C', ' C', ' C', ' D', ' C', ' E', ' E', ' C', ' C', ' E', ' C', ' E', ' B', ' E', ' E', ' E', ' E', ' C', ' E', ' C', ' C', ' B', ' E', ' C', ' C', ' E', ' E', ' E', ' C', ' C', ' E', ' C', ' B', ' C', ' E', ' E', ' E', ' E', ' E', ' C', ' E', ' C', ' E', ' C', ' E', ' C', ' E', ' E', ' C', ' E', ' C', ' C', ' E', ' C', ' C', ' E', ' B', ' E', ' E', ' E', ' E', ' C', ' E', ' E', ' B', ' E', ' C', ' E', ' C', ' E', ' C', ' E', ' E', ' E', ' C', ' E', ' C', ' E', ' C', ' C', ' E', ' C']","[0.006057695425680946, 0.038990452333193176, 0.4804950458820401, 0.020462370980644674, 0.45399443537844114, 0.0006445939768888]",婚姻状况,未婚或同居,"[1.0, 2.0, 3.0, 4.0, 5.0]"
b17,"Question: 您目前的婚姻状况是？
A. 未婚或同居
B. 有配偶
C. 分居离异或丧偶

Answer: B. 有配偶

Answer the following question keeping in mind your previous answers.
Question: 比较而言,您认为下列哪类人在近20年来获得的利益最多
A. 工人
B. 农民
C. 国家干部
D. 国有、集体企业经营管理者
E. 有技术专长和高学历者
F. 有资产的人
G. 其他
Answer as a choice between A.,B.,C.,D.,E.,F.,G.

Answer:","[' C', ' E', ' E', ' C', ' C', ' C', ' E', ' D', ' E', ' D', ' F', ' D', ' C', ' A', ' D', ' C', ' D', ' C', ' C', ' D', ' C', ' D', ' C', ' D', ' D', ' C', ' C', ' D', ' F', ' E', ' E', ' D', ' A', ' D', ' D', ' D', ' D', ' E', ' D', ' F', ' D', ' F', ' F', ' F', ' D', ' E', ' C', ' G', ' E', ' A', ' C', ' C', ' E', ' E', ' C', ' F', ' F', ' D', ' E', ' E', ' F', ' D', ' D', ' D', ' C', ' C', ' D', ' E', ' E', ' D', ' C', ' C', ' F', ' C', ' D', ' G', ' E', ' C', ' C', ' D', ' F', ' F', ' F', ' E', ' C', ' C', ' F', ' C', ' E', ' C', ' F', ' C', ' E', ' C', ' E', ' G', ' D', ' F', ' D', ' C']","[0.018071812356753432, 0.018782960455653683, 0.27869081828285686, 0.19927506660777872, 0.20809101244805697, 0.22683565575083797, 0.0502526740980624, 0.0009629661954317]",婚姻状况,有配偶,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
a425,"Question: 您常住地属于以下哪一类区域？
A. 中心城区
B. 城乡结合部
C. 镇
D. 农村

Answer: D. 农村

Answer the following question keeping in mind your previous answers.
Question: 您是否同意-夫妻应该均等分摊家务
A. 不知道
B. 完全不同意
C. 比较不同意
D. 无所谓同意不同意
E. 比较同意
F. 完全同意
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' E', ' F', ' F', ' C', ' E', ' E', ' F', ' E', ' F', ' C', ' F', ' E', ' D', ' E', ' F', ' E', ' F', ' E', ' C', ' F', ' B', ' B', ' F', ' F', ' E', ' F', ' D', ' F', ' E', ' E', ' E', ' D', ' E', ' D', ' F', ' F', ' E', ' E', ' E', ' F', ' F', ' F', ' F', ' E', ' E', ' E', ' E', ' E', ' B', ' D', ' F', ' F', ' F', ' F', ' F', ' E', ' E', ' E', ' F', ' F', ' E', ' F', ' E', ' E', ' F', ' C', ' F', ' F', ' F', ' E', ' F', ' E', ' C', ' F', ' F', ' E', ' F', ' F', ' F', ' F', ' F', ' C', ' E', ' E', ' B', ' F', ' F', ' B', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' D', ' E', ' E', ' C', ' F']","[0.004432248506696081, 0.041411126172551604, 0.07823336443435855, 0.07946276264110633, 0.3379859917598583, 0.45847450648542926, 0.0004159560449043]",居住地类型,农村,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
a44,"Question: 您认为自己目前的身体健康状况如何？
A. 不健康
B. 一般
C. 健康

Answer: C. 健康

Answer the following question keeping in mind your previous answers.
Question: 上次居委会选举/村委会选举，您是否参加了投票
A. 不知道
B. 是
C. 否
D. 没有投票资格
Answer as a choice between A.,B.,C.,D.

Answer:","[' C', ' C', ' B', ' C', ' C', ' C', ' C', ' B', ' B', ' C', ' C', ' A', ' D', ' C', ' C', ' C', ' A', ' B', ' C', ' B', ' C', ' C', ' D', ' C', ' C', ' B', ' B', ' B', ' D', ' C', ' B', ' C', ' B', ' B', ' B', ' C', ' B', ' D', ' C', ' C', ' C', ' C', ' B', ' C', ' C', ' C', ' C', ' C', ' C', ' B', ' C', ' B', ' B', ' B', ' C', ' C', ' B', ' C', ' C', ' D', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' C', ' C', ' C', ' C', ' C', ' C', ' C', ' B', ' C', ' B', ' B', ' B', ' B', ' C', ' C', ' A', ' B', ' B', ' C', ' C', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' C', ' C', ' C', ' C', ' B', ' B']","[0.02566115466166696, 0.44793101514634825, 0.4789896212952869, 0.047418208896697955, 0.0]",自评健康状况,健康,"[1.0, 2.0, 3.0, 4.0]"
a424,"Question: 您的民族是？
A. 汉族
B. 少数民族

Answer: A. 汉族

Answer the following question keeping in mind your previous answers.
Question: 您是否同意-在经济不景气时，应该先解雇女性员工
A. 不知道
B. 完全不同意
C. 比较不同意
D. 无所谓同意不同意
E. 比较同意
F. 完全同意
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' F', ' B', ' C', ' D', ' B', ' C', ' B', ' F', ' B', ' E', ' B', ' E', ' B', ' B', ' B', ' E', ' B', ' E', ' C', ' C', ' B', ' B', ' B', ' B', ' B', ' D', ' B', ' C', ' B', ' C', ' E', ' D', ' B', ' B', ' B', ' C', ' D', ' B', ' B', ' B', ' C', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' C', ' C', ' B', ' B', ' E', ' B', ' D', ' F', ' D', ' C', ' C', ' B', ' D', ' C', ' C', ' D', ' C', ' C', ' B', ' B', ' C', ' A', ' C', ' B', ' B', ' E', ' B', ' B', ' C', ' C', ' D', ' B', ' B', ' E', ' C', ' C', ' C', ' C', ' E', ' B', ' B', ' C', ' C', ' C', ' B', ' D', ' B', ' D', ' B']","[0.017065931551172236, 0.47175640299387656, 0.29649273979604435, 0.09327545898734398, 0.08452287252612618, 0.03688659414543681, 0.0002364126753399]",民族,汉族,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
